"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"wg_mu[3]" 10350.7749238167 11.837627905743 811.546882098431 8777.57839072016 9809.84005573624 10358.9925482668 10884.7140667763 11928.5647695224 4700 1.00013491758705
"wg_mu[4]" 13583.9480917503 9.15653745508748 627.740581277149 12365.321375408 13149.7368363259 13580.2211693176 14010.9735232722 14814.767286288 4700 1.00019044901051
"wg_mu[5]" 10776.858591016 24.0881476513976 1651.40020261444 7541.14063576597 9639.91737412441 10757.219353974 11931.7751413329 13920.704670716 4700 0.999807899393047
"wg_mu[6]" 7626.56773630338 13.9822388782323 958.574002894595 5635.5081750811 6991.45247364833 7645.10566140887 8260.64891842402 9524.53326209581 4700 0.999858642271379
"wg_mu[7]" 11994.599752294 22.14254124744 1518.01614767582 8965.23070276461 11001.3089560346 11989.4906797602 12997.0691313259 14917.0227295346 4700 0.999787785032131
"wg_mu[8]" 9305.94395320976 18.0246149201173 1235.70534197559 6829.28072092351 8477.96042179174 9291.24274346875 10113.1422315957 11743.1469299306 4700 0.999895718587408
"wg_mu[9]" 16487.1048465527 17.2896888528997 1185.32134923884 14116.2205385068 15702.8664436451 16475.9519022763 17265.7742475415 18851.4716526593 4700 0.999802774510856
"wg_mu[10]" 16933.2938333602 11.7788920589472 807.520155315486 15299.2259105477 16386.4662814323 16939.0817225485 17486.5506239134 18484.6785235903 4700 0.999788927272718
"wg_mu[11]" 21547.0998807943 6.74146628437976 462.171643459566 20624.5936753687 21230.9448380405 21545.2181327051 21858.0699055324 22485.8639652563 4700 1.00033210576734
"wg_mu[12]" 13192.302785227 9.31549829151346 638.638387172423 11956.9607205471 12757.2781419629 13196.9338931104 13638.5905041675 14427.3660378901 4700 0.999971212413832
